"plot_ID" "species_1" "species_2" "species_3" "heigth_A" "heigth_B" "heigth_C" "heigth_D" "PAR_sup" "PAR_inf" "treatment" "date" "PAR_start" "PAR_end" "first_flower" "pheno_sp1" "pheno_sp2" "pheno_sp3" "season" "mean_height" "PAR_diff"
"1053" 47 "Fr" "Lp" "Pt" 21 19.5 19 26.5 174 71 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 21.5 103
"1054" 47 "Fr" "Lp" "Pt" 22 19 24 22.5 174 8.5 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 21.875 165.5
"1055" 48 "Pg" "Ra" "Pm" 9.5 11.5 11 19 174 12.6 "control" NA "11h00" "12h00" NA 1 1 "0" "summer_2022" 12.75 161.4
"1056" 48 "Pg" "Ra" "Pm" 35.5 37 37.5 32 174 0.35 "nitrogen" NA "11h00" "12h00" NA 0 1 "0" "summer_2022" 35.5 173.65
"1057" 49 "Pg" NA NA 2 8 2.5 3 193 193 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 3.875 0
"1058" 49 "Pg" NA NA 6 7.5 6.5 8 193 23 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 7 170
"1059" 50 "Sp" NA NA 5 5 4 4.5 193 193 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 4.625 0
"1060" 50 "Sp" NA NA 0 10 10.5 13 193 13 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 8.375 180
"1061" 51 "Cb" NA NA 7 0 0 5 193 189 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 3 4
"1062" 51 "Cb" NA NA 22.5 15 18.5 19 193 2.9 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 18.75 190.1
"1063" 52 "Dc" NA NA 0 0 0 8 193 69 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 2 124
"1064" 52 "Dc" NA NA 0 0 9 0 193 193 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 2.25 0
"1065" 53 "Fr" NA NA 19.5 19.5 19 20.5 193 138 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 19.625 55
"1066" 53 "Fr" NA NA 24 26 25.5 26 193 27 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 25.375 166
"1067" 54 "Hl" NA NA 0 16.5 0 13 193 17.1 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 7.375 175.9
"1068" 54 "Hl" NA NA 0 0 24.5 0 193 4.5 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 6.125 188.5
"1069" 55 "Lp" NA NA 17 12 0 15 193 96 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 11 97
"1070" 55 "Lp" NA NA 22.5 25 18.5 25 193 19 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 22.75 174
"1071" 56 "Pm" NA NA 5 2.5 0 3 193 184 "control" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 2.625 9
"1072" 56 "Pm" NA NA 9 9.5 10 7 193 41 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 8.875 152
"1073" 57 "Pt" NA NA 0 0 0 5.5 193 193 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 1.375 0
"1074" 57 "Pt" NA NA 6 6.5 11.5 3.5 193 193 "nitrogen" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 6.875 0
"1075" 58 "Be" NA NA 14 20.5 14.5 17.5 193 155 "control" NA "11h00" "12h00" NA 0 0 "0" "summer_2022" 16.625 38
"1076" 58 "Be" NA NA 26.5 32.5 27 34.5 193 17 "nitrogen" NA "11h00" "12h00" NA 1 0 "0" "summer_2022" 30.125 176
