"plot","species_1","species_2","species_3","heigth_A","heigth_B","heigth_C","heigth_D","PAR_sup","PAR_inf","nitrogen","date","PAR_start","PAR_end","first_flower","mean_height"
"91","46","Be","Lp","Dc",24,8.5,17.5,28,185,113,"0",2020-04-27,"11h00","12h30",NA,19.5
"92","46","Be","Lp","Dc",19.5,25.5,24,33.5,177,34,"1",2020-04-27,"11h00","12h30",NA,25.625
"93","47","Fr","Lp","Pt",25.5,27,0,31.5,192,26,"0",2020-04-27,"11h00","12h30",NA,21
"94","47","Fr","Lp","Pt",36,30.5,32,36,188,34,"1",2020-04-27,"11h00","12h30",NA,33.625
"95","48","Pg","Ra","Pm",10,6,7,10,185,170,"0",2020-04-27,"11h00","12h30",NA,8.25
"96","48","Pg","Ra","Pm",17.5,16,46.5,22.5,191,51,"1",2020-04-27,"11h00","12h30",NA,25.625
"97","49","Pg","-","-",2,2.5,1.5,1,186,186,"0",2020-04-27,"11h00","12h30","0",1.75
"98","49","Pg","-","-",5,0,3,4,190,190,"1",2020-04-27,"11h00","12h30","0",3
"99","50","Sp","-","-",4.5,4,2.5,3,189,189,"0",2020-04-27,"11h00","12h30","0",3.5
"100","50","Sp","-","-",6.5,0,5.5,4.5,188,186,"1",2020-04-27,"11h00","12h30","0",4.125
"101","51","Cb","-","-",4.5,0,4,4.5,190,186,"0",2020-04-27,"11h00","12h30","0",3.25
"102","51","Cb","-","-",5,3,5,4,188,176,"1",2020-04-27,"11h00","12h30","1",4.25
"103","52","Dc","-","-",0,0,8,0,189,150,"0",2020-04-27,"11h00","12h30","0",2
"104","52","Dc","-","-",0,0,0,0,188,188,"1",2020-04-27,"11h00","12h30","0",0
"105","53","Fr","-","-",15.5,20.5,36,0,180,85,"0",2020-04-27,"11h00","12h30","0",18
"106","53","Fr","-","-",17.5,0,22,30.5,186,149,"1",2020-04-27,"11h00","12h30","0",17.5
"107","54","Hl","-","-",27.5,18.5,0,0,187,29,"0",2020-04-27,"11h00","12h30","0",11.5
"108","54","Hl","-","-",0,35.5,24,0,186,50,"1",2020-04-27,"11h00","12h30","0",14.875
"109","55","Lp","-","-",14.5,11,11,13,184,118,"0",2020-04-27,"11h00","12h30","0",12.375
"110","55","Lp","-","-",17.5,11.5,8.5,20.5,188,164,"1",2020-04-27,"11h00","12h30","0",14.5
"111","56","Pm","-","-",5,2.5,4,3.5,186,185,"0",2020-04-27,"11h00","12h30","1",3.75
"112","56","Pm","-","-",5,3.5,4.5,5.5,185,185,"1",2020-04-27,"11h00","12h30","1",4.625
"113","57","Pt","-","-",0,19.5,0,12,185,172,"0",2020-04-27,"11h00","12h30","0",7.875
"114","57","Pt","-","-",11.5,12,13,23,185,136,"1",2020-04-27,"11h00","12h30","0",14.875
"115","58","Be","-","-",19.5,18,14,18,182,137,"0",2020-04-27,"11h00","12h30","0",17.375
"116","58","Be","-","-",0,21,0,18.59,179,128,"1",2020-04-27,"11h00","12h30","0",9.8975
"117","59","Ra","-","-",13,10.5,18,18,181,110,"0",2020-04-27,"11h00","12h30","0",14.875
"118","59","Ra","-","-",14,13,9,15,182,23,"1",2020-04-27,"11h00","12h30","0",12.75
"119","60","To","-","-",14.5,14.5,0,20,177,126,"0",2020-04-27,"11h00","12h30","1",12.25
"120","60","To","-","-",13.5,0,8.5,0,181,166,"1",2020-04-27,"11h00","12h30","1",5.5
"121","1","To","Dc","Ra",12.5,11,10,0,187,36,"0",2020-04-27,"11h00","12h50",NA,8.375
"122","1","To","Dc","Ra",11,8,10.5,10,187,31,"1",2020-05-02,"11h00","12h50",NA,9.875
"123","2","Cb","Dc","Pg",7,9,6,11.5,194,194,"0",2020-05-02,"11h00","12h50",NA,8.375
"124","2","Cb","Dc","Pg",8.5,9,10.5,9.5,194,185,"1",2020-05-02,"11h00","12h50",NA,9.375
"125","3","Fr","Hl","Ra",4,8,24.5,9.5,193,170,"0",2020-05-02,"11h00","12h50",NA,11.5
"126","3","Fr","Hl","Ra",24.5,19.5,0,24,193,87,"1",2020-05-02,"11h00","12h50",NA,17
"127","4","Lp","Pt","Dc",33,24.5,35,36,190,91,"0",2020-05-02,"11h00","12h50",NA,32.125
"128","4","Lp","Pt","Dc",24,29,29,35,198,85,"1",2020-05-02,"11h00","12h50",NA,29.25
"129","5","Be","Hl","Dc",8.5,11,0,20,184,23,"0",2020-05-02,"11h00","12h50",NA,9.875
"130","5","Be","Hl","Dc",23,12,25.5,30.5,184,37,"1",2020-05-02,"11h00","12h50",NA,22.75
"131","6","Fr","To","Ra",16,14.5,8.5,23,185,125,"0",2020-05-02,"11h00","12h50",NA,15.5
"132","6","Fr","To","Ra",26,27,9,30.5,185,45,"1",2020-05-02,"11h00","12h50",NA,23.125
"133","7","Lp","Cb","Sp",23,16.5,25,35.52,190,115,"0",2020-05-02,"11h00","12h50",NA,25.005
"134","7","Lp","Cb","Sp",27,37,39,25.5,190,81,"1",2020-05-02,"11h00","12h50",NA,32.125
"135","8","Pt","Dc","Sp",10,6,3,12,182,170,"0",2020-05-02,"11h00","12h50",NA,7.75
"136","8","Pt","Dc","Sp",9.5,6.5,6,23,182,128,"1",2020-05-02,"11h00","12h50",NA,11.25
"137","9","Fr","Pt","Pm",20,11.5,18,12,190,180,"0",2020-05-02,"11h00","12h50",NA,15.375
"138","9","Fr","Pt","Pm",32.5,16,25,40,190,83,"1",2020-05-02,"11h00","12h50",NA,28.375
"139","10","Be","To","Dc",17,22.5,21.5,21,186,154,"0",2020-05-02,"11h00","12h50",NA,20.5
"140","10","Be","To","Dc",24,17,23,19,186,38,"1",2020-05-02,"11h00","12h50",NA,20.75
"141","11","Pt","Cb","Sp",20,17,10,13,186,22,"0",2020-05-02,"11h00","12h50",NA,15
"142","11","Pt","Cb","Sp",11,9.5,13.5,15,186,179,"1",2020-05-02,"11h00","12h50",NA,12.25
"143","12","Be","Fr","Dc",19,23,23,29,185,57,"0",2020-05-02,"11h00","12h50",NA,23.5
"144","12","Be","Fr","Dc",15.5,19.5,22,29,185,46,"1",2020-05-02,"11h00","12h50",NA,21.5
"145","13","Be","Hl","To",26.5,25,0,31,187,110,"0",2020-05-02,"11h00","12h50",NA,20.625
"146","13","Be","Hl","To",17,14,26,24.5,187,85,"1",2020-05-02,"11h00","12h50",NA,20.375
"147","14","Sp","Ra","Pm",4,9,0,7,187,175,"0",2020-05-02,"11h00","12h50",NA,5
"148","14","Sp","Ra","Pm",16,7,9,11,187,32,"1",2020-05-02,"11h00","12h50",NA,10.75
"149","15","Be","Pg","Ra",17.5,9,17,12,191,158,"0",2020-05-02,"11h00","12h50",NA,13.875
"150","15","Be","Pg","Ra",17.5,10.5,19,22.5,191,40,"1",2020-05-02,"11h00","12h50",NA,17.375
"151","16","Be","Pt","Pm",16.5,5.5,4,8,185,120,"0",2020-05-02,"11h00","12h50",NA,8.5
"152","16","Be","Pt","Pm",17,13,12,0,185,177,"1",2020-05-02,"11h00","12h50",NA,10.5
"153","17","Be","Pt","To",7,11,13,0,182,93,"0",2020-05-02,"11h00","12h50",NA,7.75
"154","17","Be","Pt","To",6,18,9.5,17,182,78,"1",2020-05-02,"11h00","12h50",NA,12.625
"155","18","Be","Cb","Ra",11.5,7,9.5,9,180,175,"0",2020-05-02,"11h00","12h50",NA,9.25
"156","18","Be","Cb","Ra",15,7.5,11.5,17.5,180,44,"1",2020-05-02,"11h00","12h50",NA,12.875
"157","19","Cb","To","Ra",13,6,5,8,182,79,"0",2020-05-02,"11h00","12h50",NA,8
"158","19","Cb","To","Ra",12,11,0,8,182,175,"1",2020-05-02,"11h00","12h50",NA,7.75
"159","20","Pt","Dc","Pg",19,8,2,9,180,180,"0",2020-05-02,"11h00","12h50",NA,9.5
"160","20","Pt","Dc","Pg",7.5,20.5,7,0,180,175,"1",2020-05-02,"11h00","12h50",NA,8.75
"161","21","Pt","Cb","Ra",11,6,8,8,177,140,"0",2020-05-02,"11h00","12h50",NA,8.25
"162","21","Pt","Cb","Ra",14.5,7.5,12,12,177,20,"1",2020-05-02,"11h00","12h50",NA,11.5
"163","22","Cb","To","Pm",5.5,3,4.5,0,183,71,"0",2020-05-02,"11h00","12h50",NA,3.25
