species	plot	treatement	atribute	rust	p_mildew	d_mildew	l_spot	n_dmg_fung	mean_perc_dmg_fung	perc_leaves_dmg_fung	perc_dmg_fung	chewing	sucking	mining	n_dmg	mean_perc_dmg	n_leaves	perc_leaves_dmg	perc_dmg	comments
	50	0	species_2																	
	50	0	species_3																	
Sp	50	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
	50	1	species_2																	
	50	1	species_3																	
Cb	51	0	species_1	0	1	0	6	6	10	60	6	0	0	0	0	0	10	0	0	
	51	0	species_2																	
	51	0	species_3																	
Cb	51	1	species_1	0	8	0	1	8	40	80	32	0	0	0	0	0	10	0	0	
	51	1	species_2																	
	51	1	species_3																	
Dc	52	0	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
	52	0	species_2																	
	52	0	species_3																	
Dc	52	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
	52	1	species_2																	
	52	1	species_3																	
Fr	53	0	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
	53	0	species_2																	
	53	0	species_3																	
Fr	53	1	species_1	0	0	0	3	3	5	30	1.5	0	1	0	1	1	10	10	0.1	
	53	1	species_2																	
	53	1	species_3																	
Hl	54	0	species_1	0	0	0	2	2	1	20	0.2	0	1	0	1	1	10	10	0.1	
	54	0	species_2																	
	54	0	species_3																	
Hl	54	1	species_1	0	0	0	3	3	1	30	0.3	0	0	0	0	0	10	0	0	
	54	1	species_2																	
	54	1	species_3																	
Lp	55	0	species_1	0	0	0	10	10	10	100	10	0	0	0	0	0	10	0	0	
	55	0	species_2																	
	55	0	species_3																	
Lp	55	1	species_1	0	0	0	5	5	1	50	0.5	0	1	0	1	5	10	10	0.5	
	55	1	species_2																	
	55	1	species_3																	
Pm	56	0	species_1	0	0	0	5	5	5	50	2.5	0	0	0	0	0	10	0	0	
	56	0	species_2																	
	56	0	species_3																	
Pm	56	1	species_1	0	0	0	2	2	1	20	0.2	0	2	0	2	1	10	20	0.2	
	56	1	species_2																	
	56	1	species_3																	
Pt	57	0	species_1	0	0	0	6	6	5	60	3	0	0	0	0	0	10	0	0	
	57	0	species_2																	
	57	0	species_3																	
Pt	57	1	species_1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	
	57	1	species_2																	
	57	1	species_3																	
Be	58	0	species_1	0	0	0	6	6	1	60	0.6	0	0	0	0	0	10	0	0	
	58	0	species_2																	
	58	0	species_3																	
Be	58	1	species_1	 -   	 -   	 -   	1	1	1	10	0.1	0	1	0	1	5	10	10	0.5	
	58	1	species_2																	
	58	1	species_3																	
Ra	59	0	species_1	0	0	0	2	2	1	20	0.2	0	0	0	0	0	10	0	0	
	59	0	species_2																	
	59	0	species_3																	
Ra	59	1	species_1	0	0	0	2	2	1	20	0.2	2	0	0	2	1	10	20	0.2	
	59	1	species_2																	
	59	1	species_3																	
To	60	0	species_1	0	2	0	6	7	5	70	3.5	0	2	0	2	5	10	20	1	
	60	0	species_2																	
	60	0	species_3																	
To	60	1	species_1	0	3	0	3	5	5	50	2.5	2	0	0	2	5	10	20	1	
	60	1	species_2																	
	60	1	species_3																	
